iterations,1,2,3,4,5,6
1,22198,54548,26858,54714,27965,29775
2,22086,21585,21319,20766,21137,21089
4,21380,21679,21359,21048,21818,21079
8,22218,21943,21094,21402,21623,21165
16,21502,22746,21100,20959,21578,20988
32,21323,21398,21561,20735,21215,21227
64,21322,20999,21861,21467,20931,20832
128,21332,22217,21859,21253,21220,21217
256,22130,21759,21749,21742,21468,21380
512,21954,20893,21973,21170,21976,22465
1024,22002,21352,21817,21960,21221,21141
2048,22145,21682,22222,22111,21443,22476
4096,21494,21952,22171,22382,22163,23156
8192,21932,21799,22841,22691,23301,23927
16384,22339,21368,24201,24110,24207,27069
32768,22434,21816,27046,26856,26578,31646
65536,23673,24323,32347,31858,32641,42913
131072,24749,25414,42743,42504,43558,64142
262144,29660,29762,62280,64762,65884,103887
524288,36719,37166,101708,103438,108904,191379
1048576,50756,50985,183457,180853,194745,344878
2097152,81539,81263,349737,346285,370702,677301
4194304,139168,139513,660511,674509,717594,1338140
8388608,258805,257041,1296965,1321324,1425053,
16777216,488437,492043,,,,
33554432,968234,979021,,,,
67108864,1902885,1901922,,,,
