iterations,bash,c,c++,c++11,c11,go,java,javascript,julia,php7.4,php8.0,php8.1,python,zsh
1,5,1,1,1,1,1,28,26,128,34,22,23,15,1
2,4,1,1,1,1,1,19,25,115,21,22,23,15,2
3,1,1,2,1,1,2,26,27,121,21,22,24,15,2
4,2,1,1,2,1,1,36,27,121,22,22,23,15,2
5,2,1,1,2,1,2,23,27,126,22,23,23,15,2
6,2,1,2,2,1,2,22,27,137,22,23,23,15,2
7,2,1,2,2,2,2,21,32,116,22,23,23,15,2
8,3,2,2,2,2,2,22,28,122,22,23,24,15,2
9,2,2,2,2,2,2,22,29,123,22,23,24,16,3
10,3,2,2,3,2,3,25,28,124,22,23,24,15,3
20,4,4,3,5,4,4,56,31,128,23,25,25,17,4
30,6,5,4,6,5,6,28,35,128,25,27,28,19,6
40,7,5,6,7,7,8,28,37,127,27,27,30,21,7
50,8,7,7,9,8,10,32,39,129,28,29,30,23,9
60,10,9,9,10,10,12,32,35,131,30,31,33,24,11
70,11,9,10,10,11,13,35,37,134,31,31,33,26,12
80,12,10,11,11,13,15,38,39,132,33,31,34,28,13
90,15,12,12,16,15,17,42,40,133,33,32,36,31,15
100,15,15,20,14,16,19,45,44,135,34,33,38,30,17
200,30,27,36,27,31,37,65,61,148,47,45,49,46,32
300,46,45,58,39,47,42,86,79,163,61,61,59,63,48
400,59,56,70,63,61,53,107,98,175,75,72,70,77,62
500,90,67,82,79,76,86,128,107,190,88,81,83,93,77
600,91,78,103,97,93,96,139,123,198,103,95,96,109,95
700,104,132,117,107,108,113,189,147,217,116,109,107,129,112
800,116,109,129,142,138,134,199,137,221,129,122,118,141,125
900,129,115,111,144,161,136,174,173,234,146,162,134,164,146
1000,150,130,123,154,149,129,239,395,246,160,147,145,175,162
2000,288,248,270,305,308,384,389,330,388,269,273,272,364,325
3000,429,361,359,473,505,391,606,444,505,392,393,391,506,481
4000,578,487,483,475,610,659,785,777,639,547,543,525,648,633
5000,723,611,605,778,802,643,903,790,788,638,655,667,821,766
6000,858,784,719,939,939,1033,972,921,871,759,799,996,999,1144
7000,1035,876,839,1107,1106,937,1157,1418,1023,868,886,1207,1078,1060
8000,1128,975,976,1252,1187,1142,1408,1325,1167,983,1021,995,1257,1240
9000,1288,1124,1110,1438,1352,1234,1782,1323,1285,1158,1133,1111,1576,1413
10000,1437,1238,1277,1541,1564,1666,2789,1791,1499,1332,1277,1266,1651,1543
20000,2975,2511,2468,3108,3419,3313,2709,3622,2913,2520,2509,2570,3260,3166
30000,4367,3684,4846,4858,4959,5225,5252,5524,4115,4912,3798,3906,4779,4541
40000,5863,4966,6520,6188,6612,5997,5439,5459,6871,6704,6059,5152,6427,6057
50000,7178,6321,8271,8444,8020,8776,6828,8369,8849,8271,6294,6388,7926,9551
60000,8760,7597,10282,9765,9953,8773,9656,8550,8356,10044,7717,7646,10029,9297
70000,10206,8380,11616,11539,11348,11261,12216,10737,9337,10215,11667,11559,11428,10687
80000,11749,9742,13000,13170,13453,13972,11629,14370,10683,10735,13392,14245,12568,12709
90000,13422,11026,14525,14896,14309,15824,12826,15969,12118,11877,14359,11523,14717,15729
100000,18837,12790,16005,16477,16149,17176,15517,15811,13418,12911,16407,16500,16032,19063
200000,37869,24612,24899,31949,30425,30884,38718,28572,33944,25727,29342,33141,31791,38100
300000,,48416,48240,,,,,41451,,41741,49174,,,
